Timestamp,SiteID,Day of Week,Scientist,Verified By,checksum
1994-06-07T10:55:00Z,AK1,3,AK1_SCI22,dicgr128,7c37c060f5e89a57f5f43281fd3861f1
1994-07-06T09:40:00Z,AK1,4,AK1_SCI80,dicgr128,0c36320a8da88ab4996803f5fccadab2
1994-08-03T09:45:00Z,AK1,4,AK1_SCI28,dicgr128,b0ca1e8951d6175fb724595d45793281
1994-08-31T09:30:00Z,AK1,4,AK1_SCI22,dicgr128,ab2af22c34dbd28c1acb43d53828a557
1994-09-28T09:50:00Z,AK1,4,AK1_SCI22,dicgr128,8edfd79f3bb1d599e6da1a2b83d0045a
1994-10-26T09:00:00Z,AK1,4,AK1_SCI22,dicgr128,ea98bbaba57ade1bd1959d55907020db
1994-11-23T08:35:00Z,AK1,4,AK1_SCI28,dicgr128,cd1feb21d0e2b5a77d37afc60ee6a69f
1994-12-14T09:30:00Z,AK1,4,AK1_SCI80,dicgr128,89f98fad64d386028489f7c6632ef76e
1995-01-18T08:45:00Z,AK1,4,AK1_SCI22,dicgr128,8fbbb52f353870f34c16cdd19e668c77
1995-02-15T09:15:00Z,AK1,4,AK1_SCI80,dicgr128,dfdf314adefa5abbe5eb35cf1886d3fa
1995-03-15T09:20:00Z,AK1,4,AK1_SCI22,dicgr128,4a6b99677c7f975793d280225183fed0
1995-04-12T09:50:00Z,AK1,4,AK1_SCI80,dicgr128,b8ba239256910cf79959864cb56f3a47
1995-05-17T09:45:00Z,AK1,4,AK1_SCI80,dicgr128,88c885b3b04be67392feee9c134ed259
1995-06-14T09:45:00Z,AK1,4,AK1_SCI80,dicgr128,7393769a063535757c73953f5aef2533
