,checksum,Absorbance Coefficient,Ammonia,Cloud Cover,Dissolved Oxygen Saturation,Dissolved Reactive Phosphate,E Coli,Electrical Conductivity,Nitrate + Nitrite,Ring Temp,Total Nitrogen,Total Phosphate,Turbidity,Water Temp,pH,SiteID,Region,Name,Longitude,Latitude,Timestamp
11342,dcc9aca058adbad116f704dce17b3210,3.43,4.0,7.0,104.5,6.0,30.9,211.0,394.0,14.915763474639842,518.0,29.0,3.5,10.8,7.93,WA8,Wanganui,Manawatu at Teachers Coll.,175.6239194,-40.37423442,2008-05-21T13:15:00Z
11343,dcd1904c258a82fcfa97d2748097aec7,2.5,1.0,8.0,98.4,7.3,26.9,84.7,280.0,15.6460857734898,361.0,12.0,2.4,17.0,7.95,HV6,Havelock Nth,Mohaka at Glenfalls,176.6345775,-39.17951716,2011-02-09T11:15:00Z
11344,dcdd81d833ef9bb948c27857865249b0,3.1,4.0,2.0,104.2,2.5,52.1,75.6,143.0,14.97998664990727,222.0,11.0,3.55,11.0,7.72,DN4,Dunedin,Clutha at Balclutha,169.7478532,-46.23889062,2010-10-13T14:00:00Z
11345,dcde3fa41ed6873d6c3bc5a771ad4955,10.5,25.0,8.0,91.6,19.2,1986.3,120.0,1459.0,15.070832758391289,1783.0,130.0,27.8,11.3,7.22,HM2,Hamilton,Waipa at Whatawhata,175.1516454,-37.80034414,2018-07-19T13:05:00Z
11346,dce1f4e769884791575068f2d3dafdb1,2.25,3.0,7.0,100.9,10.4,259.5,119.2,276.0,-15.637455036910575,362.0,25.0,2.8,17.1,7.58,WN3,Wellington,Ruamahanga at Waihenga,175.4394258,-41.1971596,2005-03-16T10:45:00Z
11347,dce4ade85510d7541300a0bc3e34fd8c,0.7,0.0,1.0,100.3,0.9,2.0,116.6,23.0,9.230384609072363,48.0,4.0,1.88,3.0,7.87,AX3,Alexandra,Shotover at Bowens Peak,168.7149003,-44.9916064,2012-06-12T14:50:00Z
11348,dcea02931590c700d560943df155c27e,10.2,1.0,8.0,105.1,5.1,160.7,127.0,143.0,15.530614927664647,316.0,17.0,3.0,18.0,7.66,WH2,Whangarei,Waitangi at Wakelins,174.0473578,-35.27815386,2011-04-11T12:55:00Z
11349,dceb25c7d26e671d20a054af6eeb78d2,1.3,1.0,3.0,97.7,0.9,209.8,75.0,145.0,-11.672189170476978,181.0,6.0,7.51,5.2,7.68,CH3,Christchurch,Waimakariri at Gorge,172.0510607,-43.36069571,2017-07-19T07:45:00Z
11350,dcec98586df9bc63d899f4b709334213,2.8,5.0,8.0,98.8,2.3,248.9,77.8,180.0,14.705101156789096,260.0,28.0,35.0,10.2,7.86,CH2,Christchurch,Hurunui at SH1 Br.,173.0964716,-42.90013799,2020-10-14T09:50:00Z
11351,dcf3997912d6854b87812411a4dfc858,6.7,5.0,7.0,100.1,5.9,601.0,265.0,365.0,-13.388427840168536,634.0,41.0,17.4,7.5,8.0,WA7,Wanganui,Manawatu at Weber Rd,176.1114838,-40.24225986,2012-06-20T12:00:00Z
11352,dcfb51ba172831f5320b2af75f4a5e81,2.5,6.0,8.0,96.3,5.4,27.2,80.1,127.0,14.58937970002152,176.0,75.0,74.1,9.9,7.91,HV1,Havelock Nth,Makaroro at Burnt Br.,176.3037667,-39.81963047,2016-10-03T09:30:00Z
11353,dd00d577e77e9c80932065ad9b12146f,15.8,22.0,8.0,95.1,19.4,5475.0,164.0,549.0,-15.304901176793008,1292.0,411.0,315.0,12.2,7.98,WA7,Wanganui,Manawatu at Weber Rd,176.1114838,-40.24225986,2013-09-26T11:30:00Z
11354,dd0d70c0d36e2eb15aa0af570ba0451d,17.9,7.0,8.0,87.1,13.5,127.4,213.0,0.0,-13.951702406208357,290.0,39.0,3.47,22.9,7.71,AK1,Auckland,Hoteo at Gubbs,174.5167757,-36.38708527,2013-01-15T09:00:00Z
11355,dd1771ff3bd49def98a302d7387cfba4,3.4,5.0,1.0,98.3,17.2,139.6,93.2,219.0,-15.530614927664647,357.0,37.0,3.1,13.4,7.53,WN3,Wellington,Ruamahanga at Waihenga,175.4394258,-41.1971596,2006-04-19T13:00:00Z
11356,dd1898674582115d56c4ed2179e56430,13.7,14.0,8.0,97.7,7.1,770.1,82.2,418.0,15.233187454744986,771.0,103.0,56.0,11.9,7.47,WA4,Wanganui,Whanganui at Paetawa,175.1423112,-39.78864375,2011-06-21T14:30:00Z
11357,dd1a8ab6c8d261c528f316f14253bee2,14.6,20.0,6.0,95.6,4.9,727.0,148.0,128.0,15.654072953432918,438.0,33.0,11.2,14.5,7.66,WA4,Wanganui,Whanganui at Paetawa,175.1423112,-39.78864375,2016-05-17T14:15:00Z
11358,dd1e524758c689d2dcfd510055ec7efb,1.0,4.0,2.0,104.4,1.1,2.0,60.7,41.0,-15.281688389422158,95.0,5.0,1.22,12.1,7.68,NN4,Nelson,Wairau at Tuamarina,173.9524671,-41.44049154,2014-09-17T15:40:00Z
11359,dd21f14db4f0901587245840afe48a36,0.92,0.0,6.0,101.0,0.6,40.8,62.3,50.0,-14.245350119649569,88.0,4.0,4.1,9.1,7.79,TK6,Tekapo,Waitaki at SH1 Br.,171.1002468,-44.92876257,2009-09-17T11:40:00Z
